Id,Level,Assessment,Section,Title,RecommendedState,Mechanism,RegistryKey,RegistryValue,Notes
18.5.8,L1,Automated,18,"Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","SafeDllSearchMode","agreed"
18.5.9,L1,Automated,18,"Ensure 'MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires' is set to 'Enabled: 5 or fewer seconds'","Enabled: 5 or fewer seconds",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","ScreenSaverGracePeriod","resolved:raw"
18.5.12,L1,Automated,18,"Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less'","Enabled: 90% or less",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Services\Eventlog\Security","WarningLevel","agreed"
18.6.4.1,L1,Automated,18,"Ensure 'Configure multicast DNS (mDNS) protocol' is set to 'Disabled'","Disabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient","EnableMDNS","agreed"
18.6.7.1,L1,Automated,18,"Ensure 'Audit client does not support encryption' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditClientDoesNotSupportEncryption","agreed"
18.6.7.2,L1,Automated,18,"Ensure 'Audit client does not support signing' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditClientDoesNotSupportSigning","agreed"
18.6.7.3,L1,Automated,18,"Ensure 'Audit insecure guest logon' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditInsecureGuestLogon","agreed"
18.6.7.4,L1,Automated,18,"Ensure 'Enable authentication rate limiter' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","EnableAuthRateLimiter","agreed"
18.6.7.5,L1,Automated,18,"Ensure 'Enable remote mailslots' is set to 'Disabled'","Disabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\Bowser","EnableMailslots","agreed"
18.6.7.6,L1,Automated,18,"Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1'","Enabled: 3.1.1",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","MinSmb2Dialect","agreed"
18.6.7.7,L1,Automated,18,"Ensure 'Set authentication rate limiter delay (milliseconds)' is set to 'Enabled: 2000' or more","Enabled: 2000 or more",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","InvalidAuthenticationDelayTimeInMs","agreed"
18.6.8.1,L1,Automated,18,"Ensure 'Audit insecure guest logon' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditInsecureGuestLogon","agreed"
18.6.8.2,L1,Automated,18,"Ensure 'Audit server does not support encryption' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditServerDoesNotSupportEncryption","agreed"
18.6.8.3,L1,Automated,18,"Ensure 'Audit server does not support signing' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditServerDoesNotSupportSigning","agreed"
18.6.8.4,L1,Automated,18,"Ensure 'Enable insecure guest logons' is set to 'Disabled'","Disabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AllowInsecureGuestAuth","agreed"
18.6.8.5,L1,Automated,18,"Ensure 'Enable remote mailslots' is set to 'Disabled'","Disabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\NetworkProvider","EnableMailslots","agreed"
18.6.8.6,L1,Automated,18,"Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1'","Enabled: 3.1.1",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","MinSmb2Dialect","agreed"
18.6.8.7,L1,Automated,18,"Ensure 'Require Encryption' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","RequireEncryption","agreed"
18.6.11.2,L1,Automated,18,"Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\Network Connections","NC_AllowNetBridge_NLA","resolved:raw"
18.6.11.3,L1,Automated,18,"Ensure 'Prohibit use of Internet Connection Sharing on your DNS domain network' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\Network Connections","NC_ShowSharedAccessUI","resolved:raw"
18.6.14.1,L1,Automated,18,"Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"", ""Require Integrity"", and ""Require Privacy"" set for all NETLOGON and SYSVOL shares'","Enabled, with ""Require Mutual Authentication"", ""Require Integrity"", and ""Require Privacy"" set for all NETLOGON and SYSVOL shares",NEEDS REVIEW,"","",""
